title,body,
"Mpk 4.0 (Fachmagazin für Sensorik, Mess- und Prüftechnik)",vub:pb:1639491759,https://mpk.felchner-medien.de/magazin-archiv/
Neues von Rohde und Schwarz,vub:mag:05483093,https://www.rohde-schwarz.com/de/unternehmen/news-und-presse/news-magazine/ausgabe-detailseite_229360.html
New Scientist,vub:mag:00286664,https://www.newscientist.com/issue/3365/
Niedersächsisches Gesetz- und Verordnungsblatt,vub:mag:03413497,https://www.juris.de/perma?d=VB-AD-ND-GVBl-TITELDOK-T0000
OIML Bulletin,vub:mag:04732812,https://www.oiml.org/en/publications/bulletin/past-editions
Optics & Photonics News ,vub:mag:10476938,https://www.optica-opn.org/home/articles/volume_32/
PC Magazin,vub:mag:14380919,https://abo.pc-magazin.de/einzelhefte/pc-magazin-super-premium-1-2022.html?force_sid=6lnlpdd13mtmjkgmng932v07r1
Physik - Journal,vub:mag:16179439,https://www.pro-physik.de/physik-journal/dezember-2021
PTB-Mitteilungen,vub:pb:1639492887,https://www.ptb.de/cms/presseaktuelles/zeitschriften-magazine/ptb-mitteilungen/pdf-archiv-der-ptb-mitteilungen.html
PV Magazine ,vub:mag:21966702,https://www.pv-magazine.de/issue/04-2021/
Qualität und Zuverlässigkeit,vub:mag:07201214,https://www.qz-online.de/search?params=%7B%22query%22%3A%22%22%2C%22limit%22%3A10%2C%22offset%22%3A0%2C%22filters%22%3A%5B%7B%22field%22%3A%22zeitung_name%22%2C%22operator%22%3A%22OR%22%2C%22queries%22%3A%5B%22QZ%5C%5C-online%22%2C%22QZ%5C%5C-migriert%22%2C%22QZ%5C%5C-migriert%5C%5C-online%22%2C%22fachbuch%22%5D%7D%2C%7B%22field%22%3A%22article_type%22%2C%22operator%22%3A%22OR%22%2C%22queries%22%3A%5B%22NOT+DGQ_FACHBUCH%22%2C%22AUSGABENARTIKEL%22%5D%7D%5D%2C%22sort%22%3A%5B%7B%22field%22%3A%22published_from_ts%22%2C%22order%22%3A%22desc%22%7D%5D%2C%22facets%22%3A%5B%7B%22type%22%3A%22term%22%2C%22field%22%3A%22ausgabenummer%22%2C%22sort%22%3A%22count+desc%22%2C%22key%22%3A%22editionNumber%22%7D%2C%7B%22type%22%3A%22term%22%2C%22field%22%3A%22klas_pfad_10500_key%22%2C%22sort%22%3A%22count+desc%22%2C%22key%22%3A%22taxonomy%22%7D%2C%7B%22type%22%3A%22term%22%2C%22field%22%3A%22article_type%22%2C%22sort%22%3A%22index+asc%22%2C%22key%22%3A%22articleTypes%22%7D%2C%7B%22type%22%3A%22term%22%2C%22field%22%3A%22jahrgang%22%2C%22sort%22%3A%22index+desc%22%2C%22key%22%3A%22publicationYear%22%7D%5D%7D
Rationell reinigen,vub:mag:01739220,https://www.rationell-reinigen.de/heftarchiv/158/6008?nott=1&notth=1
Sterne  und Weltraum,vub:mag:00391263,https://www.spektrum.de/inhaltsverzeichnis/china-erobert-den-weltraum-sterne-und-weltraum-1-2022/1792748
Sugar Industry,vub:mag:03448657,https://sugarindustry.info/journal/
TGA-Fachplaner,vub:mag:16105656,https://www.tga-fachplaner.de/heftarchiv/ausgabe-12-2021
Werkstatt und Betrieb ,vub:mag:00432792,https://www.werkstatt-betrieb.de/a/ausgabe/ausgabe-082021-352794
